concatpedido,Filial,Nome Filial,Número do pedido,Série,Nr.Processo,Situação do Item,Dt.Emissão,Cód.Agente,Nome Fantasia,Cond.Pagto.,Contato,Situação do Pedido,Tipo de Preço,Total Pedido Compra,Item Pedido,Cód. Item,Cód.Alternativo,Descrição do Item,Unid.,Quantidade,Qtde. Convertida,Vlr.Unitário,Vlr.Mercadorias,Vlr.Desconto,Vlr.Total Item,Código Serviço,Cód. Aplicação,Nome Aplicação
12-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,5,283,283,"AÇO CA-50 20,0 MM",KG,2457.14,2457.14,6.19,15209.7,0,15209.7,,111,Obra-Compra de Insumos para Prestação de Serviços
12-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,6,284,284,"AÇO CA-50 25,0 MM",KG,323.98,323.98,6.19,2005.44,0,2005.44,,111,Obra-Compra de Insumos para Prestação de Serviços
12-7,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,7,287,287,"ACO CA-60 5,0 MM",KG,0.92,0.92,7.3,6.72,0,6.72,,111,Obra-Compra de Insumos para Prestação de Serviços
13-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,13,UN,13,Pedido Atendido,45672,9887,MOBI ARQCOM,28D,,Pedido Atendido,CIF,3200,1,9207,9207,KIT BRINDES,UN,1,1,3200,3200,0,3200,,206,Adm-Compra Mat.Uso e Consumo
14-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,14,UN,14,Pedido Atendido,45672,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,642,1,6459,6459,"DISCO DE CORTE 180X1,6X22,23MM",UN,150,150,4.46,669,27,642,,111,Obra-Compra de Insumos para Prestação de Serviços
15-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,15,UN,15,Pedido Atendido,45673,10460,SALTORI MIDIA ESTRATEGICA LTDA,28D,,Pedido Atendido,CIF,35000,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,35000,35000,0,35000,,206,Adm-Compra Mat.Uso e Consumo
16-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,16,UN,16,Pedido Atendido,45673,10460,SALTORI MIDIA ESTRATEGICA LTDA,28D,,Pedido Atendido,CIF,9600,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,9600,9600,0,9600,,206,Adm-Compra Mat.Uso e Consumo
17-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,17,UN,17,Pedido Atendido,45673,10460,SALTORI MIDIA ESTRATEGICA LTDA,28D,,Pedido Atendido,CIF,6144,1,8238,8238,MATERIAIS DE PROPAGANDA E PUBLICIDADE,UN,1,1,6144,6144,0,6144,,206,Adm-Compra Mat.Uso e Consumo
18-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,18,UN,18,Pedido Atendido,45673,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,3985.32,1,6455,6455,"DISCO DE CORTE 115X1,0X22,23 MM",UN,150,150,2.25,337.5,0,337.5,,111,Obra-Compra de Insumos para Prestação de Serviços
18-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,18,UN,18,Pedido Atendido,45673,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,3985.32,4,7750,7750,TINTA SPRAY VERMELHO,UN,6,6,16.98,101.88,0,101.88,,111,Obra-Compra de Insumos para Prestação de Serviços
18-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,18,UN,18,Pedido Atendido,45673,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,3985.32,3,6577,6577,MARCADOR INDUSTRIAL VERMELHO,UN,3,3,15.98,47.94,0,47.94,,111,Obra-Compra de Insumos para Prestação de Serviços
18-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,18,UN,18,Pedido Atendido,45673,5176,TOTAL LONAS FERRAMENTAS E ABRASIVOS,28D,,Pedido Atendido,CIF,3985.32,2,6553,6553,LAMINA DE SERRA CIRCULAR,UN,100,100,34.979999999999997,3498,0,3498,,111,Obra-Compra de Insumos para Prestação de Serviços
19-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,19,UN,19,Pedido Atendido,45674,3360,JOSE HENRIQUE DE SOUZA,28D,,Pedido Atendido,CIF,260,1,1,1,SERVIÇO DE FRETE,VB,260,260,1,260,0,260,151,107,Obra-Serviços Tomados
20-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,20,UN,20,Pedido Atendido,45674,1473,ANJUS TRANSPORTES,28D,,Pedido Atendido,CIF,150,1,1,1,SERVIÇO DE FRETE,VB,150,150,1,150,0,150,151,107,Obra-Serviços Tomados
21-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,21,UN,21,Pedido Atendido,45674,9909,ARAMEBRAS INDUSTRIA E COMERCIO LTDA,28D,,Pedido Atendido,CIF,5921.73,1,303,303,ARAME GALVANIZADO 12 BWG,KG,600,600,9.8695500000000003,5921.73,0,5921.73,,111,Obra-Compra de Insumos para Prestação de Serviços
22-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,22,UN,22,Pedido Atendido,45674,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3744.1,1,3288,3288,LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,MES,3,3,270,810,0,810,,110,Obra-Locação de Equipamento
22-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,22,UN,22,Pedido Atendido,45674,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3744.1,5,3327,3327,LOCAÇÃO DE MOTOR VIBRADOR ELÉTRICO + MANGOTE,MES,1,1,287.10000000000002,287.10000000000002,0,287.10000000000002,,110,Obra-Locação de Equipamento
22-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,22,UN,22,Pedido Atendido,45674,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3744.1,4,3329,3329,LOCAÇÃO DE NÍVEL LASER,MES,1,1,940,940,0,940,,110,Obra-Locação de Equipamento
22-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,22,UN,22,Pedido Atendido,45674,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3744.1,3,3263,3263,"LOCAÇÃO DE BOMBA SUBMERSÍVEL 3"" ELÉTRICA",MES,1,1,580,580,0,580,,110,Obra-Locação de Equipamento
22-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,22,UN,22,Pedido Atendido,45674,9907,TERRA CIVIL COM DE EQUIP.PECAS E SERVICOS LTDA,28D,,Pedido Atendido,CIF,3744.1,2,3261,3261,"LOCAÇÃO DE BOMBA SUBMERSÍVEL 2"" ELÉTRICA",MES,1,1,1127,1127,0,1127,,110,Obra-Locação de Equipamento
23-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,23,UN,23,Pedido Atendido,45674,10313,CCA,28D,,Pedido Atendido,CIF,8056.76,1,5757,5757,CORTE E DOBRA DE AÇO,KG,10070.950000000001,10070.950000000001,0.8,8056.76,0,8056.76,80,107,Obra-Serviços Tomados
24-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,24,UN,24,Pedido Atendido,45674,10299,JATO & PINTURA,28D,,Pedido Atendido,CIF,1000,1,3328,3328,LOCAÇÃO DE MUNCK,MES,2.64E-2,2.64E-2,37878.787879000003,1000,0,1000,,110,Obra-Locação de Equipamento
25-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,25,UN,25,Pedido Atendido,45677,2372,ELENI PEREIRA WIINSCH 02905955929,28D,,Pedido Atendido,CIF,550,1,8217,8217,SERVIÇOS DE LIMPEZA E CONSERVAÇÃO,VB,550,550,1,550,0,550,31,107,Obra-Serviços Tomados
26-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,26,UN,26,Pedido Atendido,45677,9467,A & F REICHMANN SOCIEDADE SIMPLES,28D,,Pedido Atendido,CIF,24150,1,5728,5728,SERVIÇOS PROJETOS DE PAISAGISMO,M2,24150,24150,1,24150,0,24150,22,207,Adm-Serviços Tomados
27-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,27,UN,27,Pedido Atendido,45677,9546,TELEFONICA BRASIL S.A.,28D,,Pedido Atendido,CIF,99.99,1,7891,7891,CONSUMO DE INTERNET,VB,1,1,99.99,99.99,0,99.99,,209,Adm-Outras Entradas
28-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,28,UN,28,Pedido Atendido,45678,10514,ROBSON KOSMA KRIEGER,28D,,Pedido Atendido,CIF,3000,1,9207,9207,KIT BRINDES,UN,1,1,3000,3000,0,3000,,206,Adm-Compra Mat.Uso e Consumo
29-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,29,UN,29,Pedido Atendido,45681,2745,HUB4PAY,28D,,Pedido Atendido,CIF,12582.72,1,8400,8400,GRATIFICAÇÃO,VB,1,1,12582.72,12582.72,0,12582.72,154,207,Adm-Serviços Tomados
30-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,30,UN,30,Pedido Atendido,45684,2622,FAVRETTO MIDIA EXTERIOR,28D,,Pedido Atendido,CIF,10320,1,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,7200,7200,0,7200,104,207,Adm-Serviços Tomados
30-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,30,UN,30,Pedido Atendido,45684,2622,FAVRETTO MIDIA EXTERIOR,28D,,Pedido Atendido,CIF,10320,2,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,3120,3120,0,3120,104,210,Adm-Locações
31-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,31,UN,31,Pedido Atendido,45684,10319,ARTE & MENSAGEM COMUNICACAO LTDA,28D,,Pedido Atendido,CIF,5400,1,8179,8179,LOCAÇÃO DE ESPAÇO PUBLICITÁRIO,VB,1,1,5400,5400,0,5400,104,207,Adm-Serviços Tomados
32-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,32,UN,32,Pedido Atendido,45684,9879,AGISA CONTAINNERS LTDA,28D,,Pedido Atendido,CIF,4850,1,8183,8183,MANUTENÇÃO E REPARAÇÃO STAND,VB,1,1,4850,4850,0,4850,150,207,Adm-Serviços Tomados
33-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,33,UN,33,Pedido Atendido,45681,9379,D - LAB DESIGN LABORATORY,28D,,Pedido Atendido,CIF,499.5,1,8176,8176,HONORÁRIOS DE PRODUÇÃO,VB,1,1,499.5,499.5,0,499.5,74,207,Adm-Serviços Tomados
34-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,34,UN,34,Pedido Atendido,45685,4939,SKILL MADEIRAS,28D,,Pedido Atendido,CIF,38250,1,9260,9260,"PRANCHA EUCALIPTO 3""X6""",M,1950,1950,19.8,38610,360,38250,,111,Obra-Compra de Insumos para Prestação de Serviços
35-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,35,UN,35,Pedido Atendido,45685,5024,SULCABOS,28D,,Pedido Atendido,CIF,9363.57,1,9017,9017,CORDOALHA 3/8 7 FIOS GALVANIZADO,KG,345.95,345.95,27.903338999999999,9653.16,289.58999999999997,9363.57,,111,Obra-Compra de Insumos para Prestação de Serviços
36-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,36,UN,36,Pedido Atendido,45686,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,40903.089999999997,1,278,278,"AÇO CA-50 6,3 MM",KG,79.7,79.7,256.60640000000001,20451.53,0,20451.53,,111,Obra-Compra de Insumos para Prestação de Serviços
36-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,36,UN,36,Pedido Atendido,45686,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,40903.089999999997,2,282,282,"AÇO CA-50 16,0 MM",KG,662.8,662.8,30.856300000000001,20451.560000000001,0,20451.560000000001,,111,Obra-Compra de Insumos para Prestação de Serviços
37-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,37,UN,37,Pedido Cancelado,45686,1945,MADECOM,28D,,Pedido Cancelado,CIF,60480,1,600,600,"COMPENSADO PLASTIFICADO 17MM 1,10X2,20",UN,600,600,100.8,60480,0,60480,,111,Obra-Compra de Insumos para Prestação de Serviços
38-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,38,UN,38,Pedido Atendido,45686,1719,CASA NOVA,28D,,Pedido Atendido,CIF,4472,1,6502,6502,ESPAÇADOR MULTIAPOIO 25MM,UN,8000,8000,0.55900000000000005,4472,0,4472,,111,Obra-Compra de Insumos para Prestação de Serviços
41-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,41,UN,41,Pedido Atendido,45686,3304,AMPLA DEDETIZADORA,28D,,Pedido Atendido,CIF,22050,1,8570,8570,MO LOCAÇÃO DE CAMINHAO PIPA COM COMBUSTÍVEL,MES,1,1,22050,22050,0,22050,23,107,Obra-Serviços Tomados
42-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,42,UN,42,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,8702.7999999999993,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,14,14,447,6258,0,6258,23,107,Obra-Serviços Tomados
42-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,42,UN,42,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,8702.7999999999993,2,9214,9214,SERVIÇO DE CONCRETAGEM,M3,40,40,61.12,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
43-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,43,UN,43,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,19454.8,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,26,26,447,11622,0,11622,23,107,Obra-Serviços Tomados
43-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,43,UN,43,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,19454.8,3,97,97,SERVIÇOS DE BOMBEAMENTO DIÁRIA,DIA,1,1,2444.8000000000002,2444.8000000000002,0,2444.8000000000002,23,107,Obra-Serviços Tomados
43-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,43,UN,43,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,19454.8,2,79,79,CONCRETO USINADO BOMBEÁVEL 40MPA 12+-2 B1,M3,12,12,449,5388,0,5388,23,107,Obra-Serviços Tomados
44-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,44,UN,44,Pedido Atendido,45687,3032,HOBI S/A - MINERACAO DE AREIA E CONCRETO,28D,,Pedido Atendido,CIF,17642.8,1,53,53,CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,M3,34,34,447,15198,0,15198,23,107,Obra-Serviços Tomados
