,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status do Item,1,2,Orçamento,Sequencial,Solicitação,Sequência,Cód. Item,Cód. Alternativo,Acesso ao grupo de Itens,Descrição,Descrição Genérica,Qtde. Solicitada,Unid. Solicitação,Qtde. Convertida,Unid. Estoque,Preço de Solicitação,Data do Preço,Data de Necessidade,Data Inclusão,Valor Total,Estouro?,Último Aprovador,Observação,Cód. Solic.,Situação do Item,Código da Reserva,Item Reservado?,Cód. Cotação,Filial Cotação,Item Cotação,Item Cotado?,Cód. Pedido,Fornecedor,Cod. Contrato,Fornecedor,Código,Descrição,Código,Descrição,Código,Descrição,Código,Descrição,Insumo Genérico?,Controla Estoque?,Definição do Item,Insumo Ativo para Compra?,Lançamento,Cód. Sol. Móvel
+,A,,147,1,1169,1,9017,9017,S,CORDOALHA 3/8 7 FIOS GALVANIZADO,,345.95,KG,345.95,KG,1,45670,45734,45670.612407407403,345.95,,valerio.kogima,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),41,B,,N,52,650,1,S,35,5024 - SULCABOS,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1169,2,4763,4763,S,"REBAR 8""MMX3,0M (50MM²)",,500,UN,500,UN,1,45670,45712,45670.612407407403,500,,valerio.kogima,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),41,B,,N,36,650,2,S,63,5109 - TERMOTECNICA INDUSTRIA E COMERCIO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1169,3,4713,4713,S,CONECTOR TIPO GAR 50MM,,15,UN,15,UN,1,45670,45712,45670.612407407403,15,,,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),41,B,,N,36,650,8,S,63,5109 - TERMOTECNICA INDUSTRIA E COMERCIO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1169,4,9039,9039,S,CONECTOR ATERRINSERT M12,,2,UN,2,UN,1,45670,45712,45670.612407407403,2,,valerio.kogima,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),41,B,,N,36,650,4,S,63,5109 - TERMOTECNICA INDUSTRIA E COMERCIO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1169,5,4716,4716,S,"HASTE DE ATERRAMENTO 5/8""",,15,UN,15,UN,1,45670,45712,45670.612407407403,15,,valerio.kogima,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),41,B,,N,36,650,5,S,63,5109 - TERMOTECNICA INDUSTRIA E COMERCIO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,D,,147,1,1169,6,4060,4060,S,"CABO COBRE NU 70,0MM",,240,M,240,M,1,45670,45727,45670.612407407403,240,Sim,,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),,,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1169,7,4707,4707,S,"CONECTOR SPLIT-BOLT 50,0MM",,15,UN,15,UN,1,45671,45713,45671.673101851899,15,,valerio.kogima,01.08.03.02.005 - MATERIAIS SPDA (INICIAL),41,B,,N,36,650,7,S,63,5109 - TERMOTECNICA INDUSTRIA E COMERCIO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1246,1,278,278,S,"AÇO CA-50 6,3 MM",,79.7,KG,79.7,KG,5.7039999999999997,45665,45797,45665.470844907402,454.60879999999997,Sim,felipe.leitolles,01.03.05.02.003 - VIGA ENSECADEIRA (BLOCO ELEVADOR),38,B,,N,33,650,1,S,36,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1246,2,282,282,S,"AÇO CA-50 16,0 MM",,662.8,KG,662.8,KG,5.24,45594,45797,45665.470844907402,3473.0720000000001,Sim,felipe.leitolles,01.03.05.02.003 - VIGA ENSECADEIRA (BLOCO ELEVADOR),38,B,,N,33,650,2,S,36,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,1,287,287,S,"ACO CA-60 5,0 MM",,5,KG,5,KG,8.49,45656,45790,45665.6389583333,42.45,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,4,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,2,278,278,S,"AÇO CA-50 6,3 MM",,39,KG,39,KG,5.7026000000000003,45665,45797,45665.6389583333,222.4014,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,1,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,3,279,279,S,"AÇO CA-50 8,0 MM",,36,KG,36,KG,5.7024999999999997,45665,45797,45665.6389583333,205.29,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,2,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,4,280,280,S,"AÇO CA-50 10,0 MM",,197,KG,197,KG,5.8,45656,45790,45665.6389583333,1142.5999999999999,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,3,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,5,281,281,S,"AÇO CA-50 12,5 MM",,3022,KG,3022,KG,5.24,45594,45797,45665.6389583333,15835.28,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,8,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,6,283,283,S,"AÇO CA-50 20,0 MM",,21,KG,21,KG,5.24,45594,45797,45665.6389583333,110.04,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,6,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,7,283,283,S,"AÇO CA-50 20,0 MM",,1433,KG,1433,KG,5.24,45594,45797,45665.6389583333,7508.92,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,6,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1291,8,284,284,S,"AÇO CA-50 25,0 MM",,5848,KG,5848,KG,5.2362000000000002,45665,45797,45665.6389583333,30621.297600000002,Sim,valerio.kogima,01.03.05.02.003 E 004 - NF 48242 - ARCELORMITTAL (AÇO BLOCO),3,B,,N,3,650,5,S,6,1259 - ARCELORMITTAL BRASIL S.A.,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1328,1,5670,5670,S,SERVIÇOS GERENCIAMENTO DE RESIDUOS,,16800,VB,16800,VB,1,45656,45744,45666.378900463002,16800,,engenharia.piemonte,CTR 20240001 - RM,10,B,,N,5,650,1,S,,,478,2101 - CWB AMBIENTAL,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,2,5289,5289,S,MO EXECUÇÃO DE ESTACA ESCAVADA 40CM,,99.97,M,99.97,M,44.13,45656,45744,45666.446909722203,4411.6760999999997,,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,1,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,4,5290,5290,S,MO EXECUÇÃO DE ESTACA ESCAVADA 50CM,,13.23,M,13.23,M,60.05,45656,45744,45666.446909722203,794.4615,,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,2,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,5,5291,5291,S,MO EXECUÇÃO DE ESTACA ESCAVADA 60CM,,11.19,M,11.19,M,86.47,45656,45744,45666.446909722203,967.59929999999997,,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,3,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,6,5293,5293,S,MO EXECUÇÃO DE ESTACA ESCAVADA 80CM,,7.24,M,7.24,M,153.69999999999999,45656,45744,45666.446909722203,1112.788,,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,4,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,7,5303,5303,S,MO EXECUÇÃO DE TIRANTES,,1,M,1,M,315293.64,45656,45744,45666.446909722203,315293.64,Sim,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,5,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,8,5307,5307,S,MOBILIZAÇÃO DE EQUIPAMENTO DE ESTACA ESCAVADA,,2.0099999999999998,VB,2.0099999999999998,VB,1,45656,45744,45666.446909722203,2.0099999999999998,,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,6,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
+,A,,147,1,1330,9,5307,5307,S,MOBILIZAÇÃO DE EQUIPAMENTO DE ESTACA ESCAVADA,,1.3,VB,1.3,VB,1,45656,45744,45666.446909722203,1.3,,engenharia.piemonte,CTR 20240006 - RM,11,B,,N,7,650,6,S,,,479,2483 - ESCOLL ENGENHARIA DE SOLOS E CONCRETOS LTDA,190,Serviços de Terceiros - PJ (Obras),107,Obra-Serviços Tomados,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,SE,S,M,
